,Company_Name,ISIN,segment1,Type_Issue1,Sector,Total_No_Securities,Fresh_No_Securities,OFS_No_Securities,Issue_Open_Date,Issue_Close_Date,Times_subscribed,Face_Value,Premimum,Issue_Price,Issue_Size,Listing_Date,Anchor,QIB,Final_QIB,NII,RII,Market_Maker,Shareholder,Employee,Policy_Holders,Underwriter,Promoters_Contribution,Reservation_Portion,Net offer to public,State,Region,6(1) / (2),Industry,Segment,state_code,State1,Region1,Exchange,Designated_Exchange,Issue_Size_Bucket
0,P. E. ANALYTICS LIMITED,,SME,IPO,Private,2772000,1452000,1320000.0,2022-03-22,2022-03-25,61.5,10.0,104.0,114.0,31.6,2022-04-04,788400,526800.0,1315200,396000,921600,139200,0.0,0.0,0.0,0.0,0,139200,2632800,delhi,Northern,,Misc,,del,Delhi,Northern,NSE,NSE,≥ 10crore - < 50crore
1,Krishna Defence And Allied Industries Limited,,SME,IPO,Private,3048000,3048000,0.0,2022-03-25,2022-03-29,99.1,10.0,29.0,39.0,11.88,2022-04-06,864000,579000.0,1443000,435000,1014000,156000,0.0,0.0,0.0,0.0,0,156000,2892000,maharashtra,Western,,Misc,,mah,Maharashtra,Western,NSE,NSE,≥ 10crore - < 50crore
2,Uma Exports Limited,,Main Board,IPO,Private,8823530,8823530,0.0,2022-03-28,2022-03-30,8.33,10.0,58.0,68.0,60.0,2022-04-07,0,176470.0,176470,2558824,6088236,0,0.0,0.0,0.0,0.0,0,0,8823530,west bengal,EASTERN,6(1),Food processing,,wes,West Bengal,Eastern,NSE/BSE,BSE,≥ 50 crore - < 100crore
3,RUCHI SOYA INDUSTRIES LIMITED,,Main Board,FPO,Private,66153846,66153846,0.0,2022-03-24,2022-03-28,3.62,2.0,648.0,650.0,4300.0,2022-04-08,19843153,19181132.0,39024285,11707287,15415260,0,0.0,7014.0,0.0,0.0,0,7014,66146832,maharashtra,Western,,Oil & Natural Gas,,mah,Maharashtra,Western,NSE/BSE,BSE,≥ 500crore
4,Veranda Learning Solutions Limited,,Main Board,IPO,Private,14598540,14598540,0.0,2022-03-29,2022-03-31,3.76,10.0,127.0,137.0,199.99,2022-04-11,3412500,7536405.0,10948905,2189781,1459854,0,0.0,0.0,0.0,0.0,0,0,14598540,tamil nadu,Southern,6(2),Misc,,tam,Tamil Nadu,Southern,NSE/BSE,BSE,≥ 100 crore - < 500crore
5,DHYAANI TILE AND MARBLEZ LIMITED,,SME,IPO,Private,480000,480000,0.0,2022-03-30,2022-04-04,2.05,10.0,41.0,51.0,2.45,2022-04-12,0,0.0,0,218000,238000,24000,0.0,0.0,0.0,0.0,0,24000,456000,gujarat,Western,,Cement/ Constructions,,guj,Gujarat,Western,BSE,BSE,< 5 crore
6,Sunrise Efficient Marketing Limited,,SME,IPO,Private,1380000,1380000,0.0,2022-03-30,2022-04-25,1.37,10.0,111.0,121.0,16.7,2022-04-12,0,0.0,0,970000,332000,78000,0.0,0.0,0.0,0.0,0,78000,1302000,gujarat,Western,,Engineering,,guj,Gujarat,Western,BSE,BSE,≥ 10crore - < 50crore
7,Eighty Jewellers Limited,,SME,IPO,Private,2700000,2700000,0.0,2022-03-31,2022-04-05,2.33,10.0,31.0,41.0,11.07,2022-04-13,0,0.0,0,1281000,1281000,138000,0.0,0.0,0.0,0.0,0,138000,2562000,chhattisgarh,Central,,Misc,,chh,Chhattisgarh,Central,BSE,BSE,≥ 10crore - < 50crore
8,Hariom Pipe Industries Limited,,Main Board,IPO,Private,8500000,8500000,0.0,2022-03-30,2022-04-05,7.93,10.0,143.0,153.0,130.05,2022-04-13,0,2550000.0,2550000,2975000,2975000,0,0.0,0.0,0.0,0.0,0,0,8500000,telangana,Southern,6(1),Cement/ Constructions,,tel,Telangana,Southern,NSE/BSE,NSE,≥ 100 crore - < 500crore
9,Jeena Sikho Lifecare Limited,,SME,IPO,Private,3700000,3700000,0.0,2022-03-30,2022-04-07,2.24,10.0,140.0,150.0,55.5,2022-04-19,0,0.0,0,1762000,1752000,186000,0.0,0.0,0.0,0.0,0,186000,3514000,delhi,Northern,,Healthcare,,del,Delhi,Northern,NSE,NSE,≥ 50 crore - < 100crore
